source_file,status,reason
las-vegas-tattoo-healing-guide/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
tattoo_healing_before_after_real_results/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
tattoo-aftercare-desert-climate/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
realism-tattoos-las-vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
cover-up-tattoos-las-vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
how_much_do_tattoos_cost_in_las_vegas_authority_guide/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
walk-in-tattoos-las-vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
piercing-guide-las-vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
piercing_aftercare_guide_las_vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
piercing_aftercare_desert_climate_las_vegas_expert_guide/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
piercing_healing_guide_las_vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
katelyn_cole_piercing_authority_hub_las_vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
skin_science_tattoo_dermatology_authority_guide/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
healed_tattoo_gallery_las_vegas/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
tattoo_healing_in_desert_climate_expert_aftercare_guide/code.html,refactored,Major keeper/hub guide with sufficient existing evidence or safe expert context
aging_skin_skin_science_las_vegas_authority_guide/code.html,deferred,"Needs page-specific photos, artist notes, real case details, or consolidation decision before editorial rewrite"
anti_eyebrow_piercing_las_vegas_authority_guide/code.html,deferred,"Needs page-specific photos, artist notes, real case details, or consolidation decision before editorial rewrite"
anti_tragus_piercing_las_vegas_authority_guide/code.html,deferred,"Needs page-specific photos, artist notes, real case details, or consolidation decision before editorial rewrite"
best_fine_line_tattoos_in_vegas_ultimate_authority_guide/code.html,deferred,"Needs page-specific photos, artist notes, real case details, or consolidation decision before editorial rewrite"
best_piercing_shop_las_vegas_updated_jewelry_standards/code.html,deferred,"Needs page-specific photos, artist notes, real case details, or consolidation decision before editorial rewrite"
